text,true_emotion,predicted_emotion
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
Eat my ass' is no longer an insult,anger,joy
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
@DJ_JeanFranko growl!!!,anger,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy
@danbloom1 beware the fury of a weak king,anger,anger
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,joy
Lol little things like that make me so angry x,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
"@spencer0415 awe, I love you kid!!",fear,joy
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
@joey_coops yes Hun! Avoid at all costs!! ,fear,anger
I don't want speak front to him #afraid #intimidate #nopanicattack,fear,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
I want to be a woman who #overcomes obstacles by tackling them in #faith instead of tiptoeing around them in #fear. Renee Swope,fear,fear
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,sadness
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,fear,sadness
Northampton are awful 🙈,fear,anger
That's an awful miss from Rooney.,fear,sadness
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger
Nothing worse than an uber driver that can't drive. ,fear,anger
Tweeting from the sporadic wifi on the tube #perilous,fear,fear
@RyanAbe awe yay thank god I was so worried.,fear,joy
Nothing worse than an uber driver that can't drive. #awful,fear,anger
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
Somebody who has braved the storm is brewing. #cheerful,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy
[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,joy,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",joy,joy
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,sadness
This world has some serious issues we should all go to therapy,sadness,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,joy
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,anger
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,fear
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
@trashcami this cured my depression,sadness,joy
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
